unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Latin America & Caribbean,DMA,Dominica,HEPB3,97,99,94,91,99,98,97,96,97,98,98,99,96,93,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DOM,Dominican Republic,HEPB3,81,87,92,81,80,81,89,80,74,80,83,80,81,81,84,87,82,79,63,66,68,76,62,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,HEPB3,70,85,85,85,83,78,83,87,88,88,90,91,93,94,96,92,88,82,75,69,36,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,EGY,Egypt,HEPB3,94,95,95,94,95,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98,97,88,81,77,74,57,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,HEPB3,72,81,81,85,93,91,93,92,92,89,89,91,98,99,96,89,90,94,81,75,99,1,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,HEPB3,53,53,53,53,53,40,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ERI,Eritrea,HEPB3,95,95,95,95,95,95,94,94,94,94,95,95,95,95,94,96,84,91,86,,,,,,,,,,,,,,,,,,,,,,
Western Europe,EST,Estonia,HEPB3,90,91,93,92,93,91,93,93,94,94,94,95,94,95,95,95,90,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SWZ,Eswatini,HEPB3,83,90,90,90,90,90,98,98,95,91,89,88,90,92,93,95,93,90,88,86,83,81,78,76,76,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,HEPB3,71,68,68,68,66,63,61,59,62,65,62,56,52,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
