unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
West & Central Africa,GNQ,Equatorial Guinea,DTP3,53,53,53,53,53,40,53,53,54,54,54,52,50,48,46,44,43,41,39,37,35,33,81,81,80,79,77,76,76,77,77,48,19,10,3,3,,,,,
Eastern & Southern Africa,ERI,Eritrea,DTP3,95,95,95,95,95,95,94,94,94,94,95,95,95,95,94,96,98,93,90,86,81,93,86,75,66,58,49,32,,,,,,,,,,,,,
Western Europe,EST,Estonia,DTP3,91,91,92,93,93,93,93,94,94,93,94,95,95,95,95,96,94,94,94,94,93,91,88,87,87,82,77,71,,,,,,,,,,,,,
Eastern & Southern Africa,SWZ,Eswatini,DTP3,83,90,90,90,90,90,98,98,95,91,89,88,88,87,87,86,86,85,85,84,84,83,83,82,82,82,96,89,93,79,89,89,89,86,74,61,50,43,39,30,
Eastern & Southern Africa,ETH,Ethiopia,DTP3,71,68,67,68,66,63,61,59,62,65,61,58,54,50,46,44,40,38,35,33,30,28,42,55,55,57,57,28,13,21,49,26,16,16,7,6,4,4,3,3,
East Asia & Pacific,FJI,Fiji,DTP3,,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,94,93,91,90,89,87,86,97,97,96,96,97,99,97,98,98,90,71,69,77,80,64,70,68
Western Europe,FIN,Finland,DTP3,91,91,91,89,92,97,98,98,99,99,99,99,99,99,97,97,98,98,98,98,99,99,99,99,99,99,99,99,99,95,90,90,99,98,97,96,95,94,94,92,92
Western Europe,FRA,France,DTP3,,96,96,96,96,97,98,99,99,99,99,98,99,99,99,98,98,97,97,97,97,97,96,97,97,96,96,94,94,94,94,95,79,88,96,95,94,90,85,79,79
West & Central Africa,GAB,Gabon,DTP3,63,70,70,75,75,80,70,79,82,75,67,76,82,81,45,45,45,45,45,45,45,45,50,54,62,70,69,67,66,72,78,78,72,65,59,48,31,14,,,
West & Central Africa,GMB,Gambia,DTP3,,88,93,92,95,97,96,97,98,96,97,98,96,95,95,95,87,87,87,87,80,74,85,96,96,96,93,90,85,85,92,87,82,85,73,78,70,62,80,76,63
Eastern Europe & Central Asia,GEO,Georgia,DTP3,88,94,93,91,92,94,91,93,92,94,92,88,92,98,88,82,78,75,84,87,80,84,80,80,80,79,58,54,58,,,,,,,,,,,,
Western Europe,DEU,Germany,DTP3,,93,93,93,93,93,93,93,95,95,96,96,96,96,96,96,96,97,93,93,90,97,89,87,84,78,73,62,85,80,80,80,80,80,90,80,94,93,97,95,
West & Central Africa,GHA,Ghana,DTP3,94,97,97,99,93,88,98,90,92,91,94,94,93,94,84,84,80,80,78,79,88,79,76,71,71,70,70,66,62,60,58,51,47,42,35,22,19,23,23,22,7
Western Europe,GRC,Greece,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,94,92,91,89,88,89,90,90,90,90,89,89,85,54,54,83,82,80,54,60,72,83,95,72
Latin America & Caribbean,GRD,Grenada,DTP3,72,92,95,96,96,92,97,97,97,95,97,99,99,96,91,99,83,97,98,96,97,88,97,95,80,95,91,89,90,85,80,87,65,80,98,61,76,68,56,43,25
Latin America & Caribbean,GTM,Guatemala,DTP3,83,85,86,82,80,74,73,85,96,88,94,92,95,85,89,87,87,84,82,77,81,77,78,73,66,77,71,75,66,63,66,50,47,16,37,21,48,44,45,42,43
West & Central Africa,GIN,Guinea,DTP3,47,47,47,47,47,47,44,50,57,63,64,57,60,63,57,59,60,57,53,50,46,43,56,47,48,54,53,53,52,36,17,17,16,15,15,15,15,15,15,,
West & Central Africa,GNB,Guinea-Bissau,DTP3,,78,82,79,85,86,86,87,87,86,83,80,77,74,71,68,64,60,57,53,49,45,54,63,53,45,74,63,67,63,61,54,66,55,47,18,18,9,,,
Latin America & Caribbean,GUY,Guyana,DTP3,99,99,95,97,97,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,88,83,90,88,83,86,90,93,79,81,83,77,64,67,64,75,70,58,53,45,35
Latin America & Caribbean,HTI,Haiti,DTP3,51,51,64,64,64,64,63,65,66,68,67,65,64,64,62,60,57,53,50,46,43,39,41,42,42,42,41,39,38,36,41,50,48,28,24,19,14,9,13,14,3
Latin America & Caribbean,HND,Honduras,DTP3,80,88,91,90,95,98,99,99,98,97,97,97,93,94,95,98,94,92,95,96,94,95,97,95,94,94,94,94,93,94,84,85,74,58,62,58,41,52,46,34,28
Western Europe,HUN,Hungary,DTP3,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Western Europe,ISL,Iceland,DTP3,,92,91,89,91,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,94,98,99,99
South Asia,IND,India,DTP3,85,91,90,89,88,87,85,83,82,82,79,74,70,64,65,65,63,61,59,59,58,59,61,62,66,71,67,61,56,57,70,50,40,30,20,18,16,14,12,6,6
East Asia & Pacific,IDN,Indonesia,DTP3,77,85,85,85,84,84,88,92,87,81,81,78,77,73,72,72,71,71,70,76,75,75,74,73,72,69,68,66,64,62,60,57,54,50,47,27,13,6,1,1,
